text_id,annotation_id,plan,secret,avg_confidence,all_plan,all_secret,page_id,text
28,llm_29,"['global power hierarchy', 'no longer sovereign', nan, 'global power hierarchy']","['global power hierarchy', 'hidden power hierarchy', 'global power hierarchy', 'global power hierarchy']",0.79,0,1,1,"Libertarians (and others) tend to ignore the bigger picture, going no further than ‘government’, thinking that governments actually control countries. 

Most countries are no longer sovereign. 

Governments are low down the global power hierarchy and don’t have that much say."
85,llm_86,"['Globalists & Plandemic Secrets', nan, 'Doenut Analyses', 'Leave the world behind']","['Plandemic Secrets', 'Illuminati', 'Illuminati', 'Illuminati']",0.7575000000000001,0,1,2,"Leave the world behind Doenut Illuminati Analyses.
https://www.youtube.com/live/AHFzDmUY_K0?si=owSvuJWdOEjX8Bt3

Please Share The World!
🌍🇺🇸🌍🇺🇸🌍🇺🇸🌍🇺🇸🌍
💥JOIN US FOR AWAKENING NEWS: 
👉 https://t.me/greatawakeningworld
🔗Globalists & Plandemic Secrets Here: https://greatawakening.world"
144,llm_145,"['Epstein Worked for Mossad', nan, nan, 'Epstein Worked for Mossad']","['if Epstein Worked for Mossad', 'worked for Mossad', 'Worked for Mossad', 'Worked for Mossad']",0.7650000000000001,0,1,3,"Epstein Lawyer Alan Derchowitz Get Angry and Bothered When Asked if Epstein Worked for Mossad

⏯ @RealWorldNewsChannel
✳️ @RealWorldNewsChat"
240,llm_241,"['Who Owns the World', nan, nan, 'Who Owns the World']","['MONOPOLY', 'Who Owns the World', 'Who Owns the World', 'MONOPOLY']",0.8,0,1,4,"MONOPOLY - Who Owns the World❓

@GESARAandNESARA

https://rumble.com/v1k2sl5-monopoly-who-owns-the-world.html"
395,llm_396,"['THE SILENT WAR CONTINUES', 'THE SILENT WAR CONTINUES', nan, 'THE SILENT WAR CONTINUES']","['GHOST IN THE MACHINE', 'comms', 'SILENT WAR', 'GHOST IN THE MACHINE']",0.71,0,1,5,"GHOST IN THE MACHINE - NOT ALL GHOST 👻 R BAD 🐸 #DDK

WE R THE tip of the spear, 4 the nite is dark and full of terrors! Comms comms comms [MSM]
-
THE SILENT WAR CONTINUES
#QHOST #HOPEONAROPE #ANON #KEKAID #QNN

https://rumble.com/v1zyfam-ghost-in-the-machine-not-all-ghost-r-bad-ddk.html"
458,llm_459,"['create money', nan, 'create money', 'create money']","['kept in the dark', 'kept in the dark', 'kept in the dark', 'kept in the dark']",0.8,0,1,6,"Century Of Enslavement: The History Of The Federal Reserve

What is the Federal Reserve system? How did it come into existence? Is it part of the federal government? How does it create money? Why is the public kept in the dark about these important matters? In this feature-length documentary film, The Corbett Report explores this important question and pulls back the curtain on America's central bank.

https://rumble.com/v2cohuk-century-of-enslavement-the-history-of-the-federal-reserve.html

Follow @JustDudeChannel 😎
Rumble | Gab | Minds | Telegram |"
529,llm_530,"['Satanics are really evil', nan, nan, 'Satanics are really evil']","['Symbolism will be their downfall', 'demon possessed', 'Symbolism will be their downfall', 'Symbolism will be their downfall']",0.7650000000000001,0,1,7,"Satanics are really evil. Symbolism will be their downfall.

She have Medusa Gorgon snakes head tattoo on her belly. She was totally demon possessed.

'Giggling' mother, 27, who is accused of stabbing her boyfriend to death in his sleep 'lied to police that he had raped her and threatened to leak sex tape of them on Facebook to ""make his life a misery""', murder trial hears

https://www.dailymail.co.uk/news/article-11645085/Giggling-mother-27-accused-murdering-sleeping-lover-lied-police-raped.html

Please Share The World!
🌍🇺🇸🌍🇺🇸🌍🇺🇸🌍🇺🇸🌍
💥JOIN US FOR AWAKENING NEWS: 
👉 https://t.me/greatawakeningworld
🔗Globalists & Plandemic Secrets Here: https://greatawakening.world"
649,llm_650,"[nan, 'JOIN US FOR AWAKENING NEWS', nan, 'AWAKENING NEWS']","['Plandemic Secrets', 'Plandemic Secrets', 'Plandemic Secrets', 'Plandemic Secrets']",0.7875,0,1,8,"Illuminti is real!

Please Share The World!
🌍🇺🇸🌍🇺🇸🌍🇺🇸🌍🇺🇸🌍
💥JOIN US FOR AWAKENING NEWS: 
👉 https://t.me/greatawakeningworld
🔗Globalists & Plandemic Secrets Here: https://greatawakening.world"
775,llm_776,"['The Greatest Purveyor Of Disinformation', 'The most significant source of disinformation during the pandemic', nan, 'The Greatest Purveyor Of Disinformation']","['disinformation', 'disinformation', 'disinformation', 'disinformation']",0.8250000000000001,0,1,9,"🇺🇸 Senator Rand Paul: The Greatest Purveyor Of Disinformation Has Been The US Government.

""The most significant source of disinformation during the pandemic with the most influence and greatest impact on people's lives was the U.S. government.""

Follow @JustDudeChannel 😎
Rumble | Gab | Minds | Telegram |"
797,llm_798,"['WHO amendments to International Health Regulations', nan, nan, 'WHO Amendments International Health Regulations']","['Are Invalid', 'invalid', 'invalid', 'Are Invalid']",0.725,0,1,10,"WHO Amendments International Health Regulations Are Invalid

⏯ @RealWorldNewsChannel
✳️ @RealWorldNewsChat"
833,llm_834,"['Nazi and Jews history is all a lie', nan, nan, 'Nazi and Jews history is all a lie']","['Secrets to Escape the Matrix', 'Secrets to Escape the Matrix', 'all a lie', 'is all a lie']",0.8,0,1,11,"Nazi and Jews history is all a lie.

Please Share The World!
🌍🇺🇸🌍🇺🇸🌍🇺🇸🌍🇺🇸🌍
💥FOLLOW AWAKENING NEWS: 
👉 https://t.me/greatawakeningworld
🔗 Secrets to Escape the Matrix: https://greatawakening.io"
848,llm_849,"['Plandemic Secrets', nan, nan, 'Plandemic Secrets']","['secrets', 'Plandemic Secrets', 'Plandemic Secrets', 'secrets']",0.71,0,1,12,"Can't believe anything we see on tv anymore.

Please Share The World!
🌍🇺🇸🌍🇺🇸🌍🇺🇸🌍🇺🇸🌍
💥JOIN US FOR AWAKENING NEWS: 
👉 https://t.me/greatawakeningworld
🔗Globalists & Plandemic Secrets Here: https://greatawakening.world"
981,llm_982,"['spy on Americans who may disagree with establishment policies', 'spy on Americans who may disagree with [establishment] policies', nan, 'spy on Americans who may disagree with establishment policies']","['spy on Americans', 'almost entirely been used against the American people', 'spy on Americans', 'spy on Americans']",0.8,0,1,13,"Ron Paul Explains Why The FBI Should Be Abolished

Over three decades ago, Ron Paul explained why the FBI is not necessary and is almost entirely been used against the American people.

“It almost looks like the FBI was designed to spy on Americans who may disagree with [establishment] policies especially foreign policy.”

https://rumble.com/v1g4rrh-ron-paul-in-his-1988-libertarian-party-presidential-run-explains-why-the-fb.html

Follow @JustDudeChannel 😎
Rumble | Gab | Minds | Telegram |"
